smiles,4lde score
s1c(ccc1C#N)C,-5.3
S(c1ccc(/N=C/c2c(O)cccc2)cc1)C,-8.5
s1c(Cc2ccsc2)c(cc1)C(=O)O,-7.1
S=C(N)/C(=N\c1c(F)cccc1)/Nc1c(F)cccc1,-7.8
O(c1c2[nH]c3c(c(=O)c2c(cc1)C(=O)O)cccc3)C,-7.5
Clc1ccc(C(=O)CC(O)(C(F)(F)F)C(F)(F)F)cc1,-8.7
O(CCOc1ccccc1)C(=O)Cc1ccccc1,-8.1
O(CCN1CC(N(CC1)Cc1ccccc1)C)C(=O)Nc1c2c(ccc1)cccc2,-9.7
O=c1n(n(c(c1c1[nH]c2c(n1)cccc2)C)C)c1ccccc1,-9.5
O1Cc2c(c(c3c(c2O)cc(OC)c(OC)c3)c2cc3OCOc3cc2)C1=O,-5.8
o1c(=O)c2c3c(n(c2nc1N(C)C)COC)ccc(OC(=O)C)c3,-7.7
SC(=S)c1ccccc1,-5.5
O(C(=O)c1c(nc(nc1)C)C)CC,-5.9
S(=O)(=O)(C(C)(C)C(=O)c1ccccc1)CC(=O)OC,-7.2
Oc1n(c(=O)n(c(=O)c1/C(=N/CCN)/c1ccccc1)C)C,-7.5
S1C2(O)C(CCCC2)CCC1,-6.9
OC(CN1CCN(CC1)c1cc(ccc1)C)COc1ccc(OC)cc1,-9.4
O=C1NCC[C@@]21[C@@H](C(=C(CC2)c1ccc(OC)cc1)CC)C,-9.6
O=C(N1Cc2c(N(Cc3c1ccc(c3)C)C(=O)CCC(=O)OC)ccc(c2)C)CCC(=O)OC,-4.7
O=c1[nH]c(=O)n(cc1C(c1cn(Cc2ccccc2)c(=O)[nH]c1=O)c1ccccc1)Cc1ccccc1,-8.2
S=C(N)c1cc[n+]([O-])cc1,-6
O(c1c(c(OC)cc(OC)c1)/C=C/C(=O)OCC)C,-6.5
o1c(nc(c2ccccc2)c1OC(=O)C)c1ccccc1,-9.7
S1C(NC(C1)C(=O)O)c1sccc1,-6.2
O1c2c(OC1)cc1c(c2)cc(cc1)C#N,-8
O1C2(OCC1C)CCCCC2,-6.3
O(c1cc2c(CCC=C2c2ccccc2)cc1)C,-9.9
