smiles,pce_pcbm_sas,pce_pcdtbt_sas,pce_1,pce_2,sas,pce12_sas
C1C=Cc2c1c1oc3cc(-c4scc5sccc45)c4nsnc4c3c1c1cscc21,2.085303302,-3.930027879,6.015331181,0.0,3.930027879,2.085303302
[SiH2]1C=Cc2[se]c3c4[SiH2]C(=Cc4sc3c12)c1ccccc1,-1.918188948,-4.906353488,2.98816454,0.0,4.906353488,-1.918188948
[nH]1ccc2oc3c4oc(cc4[se]c3c12)-c1scc2cc[se]c12,-2.581932298,-4.58080098,1.998868682,0.0,4.58080098,-2.581932298
[nH]1c(ccc1-c1ccc([se]1)-c1scc2ccCc12)-c1[SiH2]ccc1,-2.79889619,-4.736915024,1.938018834,0.0,4.736915024,-2.79889619
c1sc(c2Cccc12)-c1sc(-c2sc(-c3scc4occc34)c3ccsc23)c2sccc12,-0.023758018,-4.073184819,4.049426801,0.0,4.073184819,-0.023758018
c1sc(-c2ccc(nc2)-c2ccc(nc2)-c2ncncn2)c2nccnc12,7.34863496,10.9409991,10.29759853,13.88996267,2.948963569,21.23859763
c1ccc([se]1)-c1ncc(s1)-c1sc(-c2cccc3nsnc23)c2nccnc12,6.370313635,11.6635079,10.01703327,15.31022753,3.646719633,21.68054116
c1Cc(cc1)-c1sc(-c2ccc([se]2)-c2ccc[se]2)c2sccc12,-0.614248841,-4.234281579,3.620032738,0.0,4.234281579,-0.614248841
C1C=c2c(cc3ccc4cc5ccc6c[nH]cc6c5cc4c3c2=C1)C1=CC=CC1,-2.508059741,-3.573800731,1.06574099,0.0,3.573800731,-2.508059741
c1ccc([se]1)C1=Cc2c(C1)c1c3c[nH]cc3c3ccc4=CCC=c4c3c1c1c[nH]cc21,-4.406085341,-4.406085341,0.0,0.0,4.406085341,-4.406085341
[nH]1c2ccc3c[nH]cc3c2c2cnc3C=C([SiH2]c3c12)c1cccc2c[nH]cc12,-3.408164204,-4.045424578,0.637260373,0.0,4.045424578,-3.408164204
c1ccc(o1)-c1ccc(o1)-c1ccc(cn1)-c1nccs1,0.243389843,-2.517698565,2.761088409,0.0,2.517698565,0.243389843
c1sc(-c2cc3cnc4cc5ccccc5cc4c3s2)c2occc12,-0.022982193,-2.933939852,2.910957659,0.0,2.933939852,-0.022982193
[nH]1cccc1-c1cc2[nH]c3c(c4cscc4c4ccc5ccccc5c34)c2[nH]1,-2.305338123,-3.125225677,0.819887554,0.0,3.125225677,-2.305338123
c1ccc([se]1)-c1sc(-c2ccc(cc2)-c2ccc[se]2)c2cc[nH]c12,-1.185281015,-3.762700112,2.577419097,0.0,3.762700112,-1.185281015
c1cc2c3c[nH]cc3c3c4sc(cc4c4nsnc4c3c2s1)-c1scc2[se]ccc12,0.56054872,-4.176792494,4.737341214,0.0,4.176792494,0.56054872
C1C=CC=C1c1cc2cc3c(cc2c2cscc12)c1[SiH2]C=Cc1c1ccccc31,-1.279656218,-3.768519033,2.488862815,0.0,3.768519033,-1.279656218
c1ccc(o1)-c1sc(-c2ccc(cn2)-c2scc3cc[nH]c23)c2ccCc12,-1.19718548,-3.488346475,2.291160995,0.0,3.488346475,-1.19718548
c1ccc(cc1)-c1cc2c3cocc3c3c4ncccc4c4ccccc4c3c2[se]1,-0.748148343,-3.211110956,2.462962612,0.0,3.211110956,-0.748148343
c1cc2c3c[nH]cc3c3c(c4cscc4c4cc(-c5scc6cc[nH]c56)c5nsnc5c34)c2o1,-0.521720333,-3.953688785,3.431968452,0.0,3.953688785,-0.521720333
C1C=Cc2ccc3c(cnc4cc(-c5cccnc5)c5cocc5c34)c12,-1.812611665,-3.18654014,1.373928475,0.0,3.18654014,-1.812611665
c1[SiH2]c(cc1)-c1cnc(-c2Cc(cc2)-c2cccnc2)c2nsnc12,4.08017392,-4.057717698,8.137891617,0.0,4.057717698,4.08017392
c1ccc(nc1)-c1ccc(s1)-c1sc(-c2cncc3nsnc23)c2cc[SiH2]c12,4.812888872,-3.867308644,8.680197515,0.0,3.867308644,4.812888872
[nH]1cccc1-c1ccc(-c2sc(-c3ncncn3)c3cc[nH]c23)c2cscc12,1.327792815,-3.561293808,4.889086623,0.0,3.561293808,1.327792815
c1sc(-c2ccc(nc2)-c2sc(c3Cccc23)-c2cccc3nsnc23)c2[nH]ccc12,1.952188375,-3.561944895,5.51413327,0.0,3.561944895,1.952188375
c1sc(C2=Cc3c([SiH2]2)c2c4c[nH]cc4c4cccnc4c2c2=C[SiH2]C=c32)c2C=C[SiH2]c12,-3.705704413,-5.226239187,1.520534775,0.0,5.226239187,-3.705704413
[nH]1c(cc2c3nsnc3c3cc4ccc5cscc5c4cc3c12)-c1cccc2nsnc12,4.071143992,-3.393706454,7.464850445,0.0,3.393706454,4.071143992
c1cc2cnc3c(ccc4cc(-c5cccc6=CCC=c56)c5cscc5c34)c2[se]1,-1.453086437,-3.868001261,2.414914824,0.0,3.868001261,-1.453086437
c1ccc2c(c1)[se]c1c3sc(cc3[se]c21)-c1cccc2cscc12,-0.115301203,-3.656528958,3.541227755,0.0,3.656528958,-0.115301203
